Information Type LHS,Information Type RHS,Relation
device characteristics,device-related information,hypernymy
device characteristics,device-specific information,hypernymy
device characteristics,machine,hypernymy
device connection information,access device,hypernymy
device connection information,access devices,hypernymy
device connection information,device information,hypernymy
device connection information,device,hypernymy
device connection information,device-related data,hypernymy
device connection information,device-related information,hypernymy
device connection information,device-specific information,hypernymy
device connection information,machine,hypernymy
device connection information,network information,hypernymy
device identifier,access device,hypernymy
device identifier,access devices,hypernymy
device identifier,device information,hypernymy
device identifier,device,hypernymy
device identifier,device-related data,hypernymy
device identifier,device-related information,hypernymy
device identifier,device-specific information,hypernymy
device identifier,identifiers,hypernymy
device identifier,identifying information,hypernymy
device identifier,machine,hypernymy
device identifiers,access device,hypernymy
device identifiers,access devices,hypernymy
device identifiers,device information,hypernymy
device identifiers,device,hypernymy
device identifiers,device-related data,hypernymy
device identifiers,device-related information,hypernymy
device identifiers,device-specific information,hypernymy
device identifiers,identifiers,hypernymy
device identifiers,identifying information,hypernymy
device identifiers,machine,hypernymy
device information,technical data,hypernymy
device information,technical information,hypernymy
device information,technically gathered information,hypernymy
device information,technology,hypernymy
device language,language,hypernymy
device locations,access device,hypernymy
device locations,access devices,hypernymy
device locations,device information,hypernymy
device locations,device,hypernymy
device locations,device-related data,hypernymy
device locations,device-related information,hypernymy
device locations,device-specific information,hypernymy
device locations,geo-location information,hypernymy
device locations,geo-location,hypernymy
device locations,geographic data,hypernymy
device locations,geographic information,hypernymy
device locations,geographic location information,hypernymy
device locations,geographic location,hypernymy
device locations,location data,hypernymy
device locations,location information,hypernymy
device locations,location,hypernymy
device locations,locations,hypernymy
device locations,machine,hypernymy
device log information,access device,hypernymy
device log information,access devices,hypernymy
device log information,device information,hypernymy
device log information,device,hypernymy
device log information,device-related data,hypernymy
device log information,device-related information,hypernymy
device log information,device-specific information,hypernymy
device log information,log data,hypernymy
device log information,log information,hypernymy
device log information,machine,hypernymy
device make,hardware information,hypernymy
device make,hardware,hypernymy
device make,mobile device information,hypernymy
device make,mobile device,hypernymy
device make,software information,hypernymy
device make,software,hypernymy
device model number,device identifier,hypernymy
device model number,device identifiers,hypernymy
device model number,device model,hypernymy
device model number,device numbers,hypernymy
device model number,did,hypernymy
device model,access device,hypernymy
device model,access devices,hypernymy
device model,device information,hypernymy
device model,device,hypernymy
device model,device-related data,hypernymy
device model,device-related information,hypernymy
device model,device-specific information,hypernymy
device model,machine,hypernymy
device name,access device,hypernymy
device name,access devices,hypernymy
device name,device information,hypernymy
device name,device,hypernymy
device name,device-related data,hypernymy
device name,device-related information,hypernymy
device name,device-specific information,hypernymy
device name,machine,hypernymy
device numbers,access device,hypernymy
device numbers,access devices,hypernymy
device numbers,device information,hypernymy
device numbers,device,hypernymy
device numbers,device-related data,hypernymy
device numbers,device-related information,hypernymy
device numbers,device-specific information,hypernymy
device numbers,identifiers,hypernymy
device numbers,identifying information,hypernymy
device numbers,machine,hypernymy
device operating system,operating system information,hypernymy
device operating system,operating system,hypernymy
device sensor data,sensors,hypernymy
device type,access device,hypernymy
device type,access devices,hypernymy
device type,device information,hypernymy
device type,device,hypernymy
device type,device-related data,hypernymy
device type,device-related information,hypernymy
device type,device-specific information,hypernymy
device type,machine,hypernymy
device,technical data,hypernymy
device,technical information,hypernymy
device,technically gathered information,hypernymy
device,technology,hypernymy
device-related data,technical data,hypernymy
device-related data,technical information,hypernymy
device-related data,technically gathered information,hypernymy
device-related data,technology,hypernymy
device-related information,technical data,hypernymy
device-related information,technical information,hypernymy
device-related information,technically gathered information,hypernymy
device-related information,technology,hypernymy
device-specific information,technical data,hypernymy
device-specific information,technical information,hypernymy
device-specific information,technically gathered information,hypernymy
device-specific information,technology,hypernymy
devices hardware,hardware information,hypernymy
devices hardware,hardware,hypernymy
devices internet protocol,access device,hypernymy
devices internet protocol,access devices,hypernymy
devices internet protocol,device information,hypernymy
devices internet protocol,device,hypernymy
devices internet protocol,device-related data,hypernymy
devices internet protocol,device-related information,hypernymy
devices internet protocol,device-specific information,hypernymy
devices internet protocol,internet protocol,hypernymy
devices internet protocol,machine,hypernymy
devices internet protocol,users internet protocol,hypernymy
devices mac address,ethernet mac address,hypernymy
devices mac address,mac address,hypernymy
devices mac address,network media access control,hypernymy
devices mac address,unique hardware identifiers,hypernymy
devices software,software information,hypernymy
devices software,software,hypernymy
diagnostic information,software information,hypernymy
diagnostic information,software,hypernymy
did,access device,hypernymy
did,access devices,hypernymy
did,device information,hypernymy
did,device,hypernymy
did,device-related data,hypernymy
did,device-related information,hypernymy
did,device-specific information,hypernymy
did,identifiers,hypernymy
did,identifying information,hypernymy
did,machine,hypernymy
domain name,network information,hypernymy
domain names,network information,hypernymy
domain types,domain name,hypernymy
domain types,domain names,hypernymy
dump reports,diagnostic information,hypernymy
dump reports,log data,hypernymy
dump reports,log information,hypernymy
ethernet mac address,hardware information,hypernymy
ethernet mac address,hardware,hypernymy
ethernet mac address,network information,hypernymy
ethernet mac address,unique device id,hypernymy
ethernet mac address,unique device identifier,hypernymy
ethernet mac address,unique device identifiers,hypernymy
ethernet mac address,unique device ids,hypernymy
ethernet mac address,unique user device number,hypernymy
exit pages,page views,hypernymy
exit pages,pages viewed,hypernymy
exit pages,web pages visited,hypernymy
exit pages,web pages,hypernymy
exit pages,website information,hypernymy
exit pages,website traffic,hypernymy
forwarding numbers,phone number,hypernymy
forwarding numbers,telephone number,hypernymy
friends information,user information,hypernymy
functions,technology,hypernymy
game activity date,date,hypernymy
game activity date,datestamp,hypernymy
game activity date,game usage information,hypernymy
game progress,game usage information,hypernymy
game state,game usage information,hypernymy
game system,technology,hypernymy
game usage information,game system,hypernymy
game usage information,interactions,hypernymy
game usage information,usage information,hypernymy
game usage information,usage,hypernymy
general geographic location,geo-location information,hypernymy
general geographic location,geo-location,hypernymy
general geographic location,geographic data,hypernymy
general geographic location,geographic information,hypernymy
general geographic location,geographic location information,hypernymy
general geographic location,geographic location,hypernymy
general geographic location,location data,hypernymy
general geographic location,location information,hypernymy
general geographic location,location,hypernymy
general geographic location,locations,hypernymy
geo-location information,technical data,hypernymy
geo-location information,technical information,hypernymy
geo-location information,technically gathered information,hypernymy
geo-location,technical data,hypernymy
geo-location,technical information,hypernymy
geo-location,technically gathered information,hypernymy
geographic area,geo-location information,hypernymy
geographic area,geo-location,hypernymy
geographic area,geographic data,hypernymy
geographic area,geographic information,hypernymy
geographic area,geographic location information,hypernymy
geographic area,geographic location,hypernymy
geographic area,location data,hypernymy
geographic area,location information,hypernymy
geographic area,location,hypernymy
geographic area,locations,hypernymy
geographic data,technical data,hypernymy
geographic data,technical information,hypernymy
geographic data,technically gathered information,hypernymy
geographic information,technical data,hypernymy
geographic information,technical information,hypernymy
geographic information,technically gathered information,hypernymy
geographic location information,technical data,hypernymy
geographic location information,technical information,hypernymy
geographic location information,technically gathered information,hypernymy
geographic location,technical data,hypernymy
geographic location,technical information,hypernymy
geographic location,technically gathered information,hypernymy
global positioning system,device sensor data,hypernymy
global positioning system,geo-location information,hypernymy
global positioning system,geo-location,hypernymy
global positioning system,geographic data,hypernymy
global positioning system,geographic information,hypernymy
global positioning system,geographic location information,hypernymy
global positioning system,geographic location,hypernymy
global positioning system,location data,hypernymy
global positioning system,location information,hypernymy
global positioning system,location,hypernymy
global positioning system,locations,hypernymy
gps information,device sensor data,hypernymy
gps information,geo-location information,hypernymy
gps information,geo-location,hypernymy
gps information,geographic data,hypernymy
gps information,geographic information,hypernymy
gps information,geographic location information,hypernymy
gps information,geographic location,hypernymy
gps information,location data,hypernymy
gps information,location information,hypernymy
gps information,location,hypernymy
gps information,locations,hypernymy
gps signals,global positioning system,hypernymy
gps signals,gps information,hypernymy
gps signals,real-time location-based information,hypernymy
hardware device id,device identifier,hypernymy
hardware device id,device identifiers,hypernymy
hardware device id,device numbers,hypernymy
hardware device id,did,hypernymy
hardware device id,hardware information,hypernymy
hardware device id,hardware,hypernymy
hardware information,access device,hypernymy
hardware information,access devices,hypernymy
hardware information,device information,hypernymy
hardware information,device,hypernymy
hardware information,device-related data,hypernymy
hardware information,device-related information,hypernymy
hardware information,device-specific information,hypernymy
hardware information,machine,hypernymy
hardware log information,hardware information,hypernymy
hardware log information,hardware,hypernymy
hardware log information,log data,hypernymy
hardware log information,log information,hypernymy
hardware type,hardware information,hypernymy
hardware type,hardware,hypernymy
hardware,access device,hypernymy
hardware,access devices,hypernymy
hardware,device information,hypernymy
hardware,device,hypernymy
hardware,device-related data,hypernymy
hardware,device-related information,hypernymy
hardware,device-specific information,hypernymy
hardware,machine,hypernymy
high-level geographic information,geo-location information,hypernymy
high-level geographic information,geo-location,hypernymy
high-level geographic information,geographic data,hypernymy
high-level geographic information,geographic information,hypernymy
high-level geographic information,geographic location information,hypernymy
high-level geographic information,geographic location,hypernymy
high-level geographic information,location data,hypernymy
high-level geographic information,location information,hypernymy
high-level geographic information,location,hypernymy
high-level geographic information,locations,hypernymy
identifiers,information,hypernymy
identifying information,information,hypernymy
idfa,advertiser id,hypernymy
idfa,advertising id,hypernymy
idfa,mobile device id,hypernymy
idfa,mobile device identifiers,hypernymy
idfa,mobile device ids,hypernymy
idfa,unique identifier,hypernymy
idfa,unique identifiers,hypernymy
imei,mobile device id,hypernymy
imei,mobile device identifiers,hypernymy
imei,mobile device ids,hypernymy
incident data,information,hypernymy
installation time,log data,hypernymy
installation time,log information,hypernymy
installation time,software information,hypernymy
installation time,software,hypernymy
installed applications,application information,hypernymy
installed applications,applications,hypernymy
installed software,software information,hypernymy
installed software,software,hypernymy
interactions,event,hypernymy
interactions,technical data,hypernymy
interactions,technical information,hypernymy
interactions,technically gathered information,hypernymy
internet protocol address,internet protocol,hypernymy
internet protocol address,users internet protocol,hypernymy
internet protocol addresses,internet protocol,hypernymy
internet protocol addresses,users internet protocol,hypernymy
internet protocol,network information,hypernymy
internet protocol,technology,hypernymy
internet protocol,user information,hypernymy
internet service provider,mobile device information,hypernymy
internet service provider,mobile device,hypernymy
internet service provider,network information,hypernymy
ip address,internet protocol,hypernymy
ip address,users internet protocol,hypernymy
ip addresses,internet protocol,hypernymy
ip addresses,users internet protocol,hypernymy
ip-address,internet protocol,hypernymy
ip-address,users internet protocol,hypernymy
isp,mobile device information,hypernymy
isp,mobile device,hypernymy
isp,network information,hypernymy
language modeling data,language,hypernymy
language modeling statistics,language,hypernymy
language,mobile device information,hypernymy
language,mobile device,hypernymy
language,personal information,hypernymy
language,software information,hypernymy
language,software,hypernymy
latitude,global positioning system,hypernymy
latitude,gps information,hypernymy
latitude,real-time location-based information,hypernymy
learned language data,language,hypernymy
location data,technical data,hypernymy
location data,technical information,hypernymy
location data,technically gathered information,hypernymy
location information,technical data,hypernymy
location information,technical information,hypernymy
location information,technically gathered information,hypernymy
location tags,geo-location information,hypernymy
location tags,geo-location,hypernymy
location tags,geographic data,hypernymy
location tags,geographic information,hypernymy
location tags,geographic location information,hypernymy
location tags,geographic location,hypernymy
location tags,location data,hypernymy
location tags,location information,hypernymy
location tags,location,hypernymy
location tags,locations,hypernymy
location,technical data,hypernymy
location,technical information,hypernymy
location,technically gathered information,hypernymy
locations,technical data,hypernymy
locations,technical information,hypernymy
locations,technically gathered information,hypernymy
log data,technical data,hypernymy
log data,technical information,hypernymy
log data,technically gathered information,hypernymy
log files,technical data,hypernymy
log files,technical information,hypernymy
log files,technically gathered information,hypernymy
log files,technology,hypernymy
log information,technical data,hypernymy
log information,technical information,hypernymy
log information,technically gathered information,hypernymy
mac address,hardware information,hypernymy
mac address,hardware,hypernymy
mac address,network information,hypernymy
mac address,unique device id,hypernymy
mac address,unique device identifier,hypernymy
mac address,unique device identifiers,hypernymy
mac address,unique device ids,hypernymy
mac address,unique user device number,hypernymy
machine,technical data,hypernymy
machine,technical information,hypernymy
machine,technically gathered information,hypernymy
machine,technology,hypernymy
mcc,country,hypernymy
mcc,identifiers,hypernymy
mcc,identifying information,hypernymy
media information,technical data,hypernymy
media information,technical information,hypernymy
media information,technically gathered information,hypernymy
media information,technology,hypernymy
media,technical data,hypernymy
media,technical information,hypernymy
media,technically gathered information,hypernymy
media,technology,hypernymy
message,communications,hypernymy
mobile application version,application version number,hypernymy
mobile application version,mobile device information,hypernymy
mobile application version,mobile device,hypernymy
mobile country code,country,hypernymy
mobile country code,identifiers,hypernymy
mobile country code,identifying information,hypernymy
mobile device id,device identifier,hypernymy
mobile device id,device identifiers,hypernymy
mobile device id,device numbers,hypernymy
mobile device id,did,hypernymy
mobile device id,mobile device information,hypernymy
mobile device id,mobile device,hypernymy
mobile device identifiers,device identifier,hypernymy
mobile device identifiers,device identifiers,hypernymy
mobile device identifiers,device numbers,hypernymy
mobile device identifiers,did,hypernymy
mobile device identifiers,mobile device information,hypernymy
mobile device identifiers,mobile device,hypernymy
mobile device ids,device identifier,hypernymy
mobile device ids,device identifiers,hypernymy
mobile device ids,device numbers,hypernymy
mobile device ids,did,hypernymy
mobile device ids,mobile device information,hypernymy
mobile device ids,mobile device,hypernymy
mobile device information,access device,hypernymy
mobile device information,access devices,hypernymy
mobile device information,device information,hypernymy
mobile device information,device,hypernymy
mobile device information,device-related data,hypernymy
mobile device information,device-related information,hypernymy
mobile device information,device-specific information,hypernymy
mobile device information,machine,hypernymy
mobile device mac addresses,ethernet mac address,hypernymy
mobile device mac addresses,mac address,hypernymy
mobile device mac addresses,mobile device id,hypernymy
mobile device mac addresses,mobile device identifiers,hypernymy
mobile device mac addresses,mobile device ids,hypernymy
mobile device mac addresses,network media access control,hypernymy
mobile device mac addresses,unique hardware identifiers,hypernymy
mobile device model,mobile device information,hypernymy
mobile device model,mobile device,hypernymy
mobile device type,device type,hypernymy
mobile device type,mobile device information,hypernymy
mobile device type,mobile device,hypernymy
mobile device,access device,hypernymy
mobile device,access devices,hypernymy
mobile device,device information,hypernymy
mobile device,device,hypernymy
mobile device,device-related data,hypernymy
mobile device,device-related information,hypernymy
mobile device,device-specific information,hypernymy
mobile device,machine,hypernymy
mobile devices unique device id,mobile device id,hypernymy
mobile devices unique device id,mobile device identifiers,hypernymy
mobile devices unique device id,mobile device ids,hypernymy
mobile devices unique device id,unique device id,hypernymy
mobile devices unique device id,unique device identifier,hypernymy
mobile devices unique device id,unique device identifiers,hypernymy
mobile devices unique device id,unique device ids,hypernymy
mobile devices unique device id,unique user device number,hypernymy
mobile devices unique identifier,mobile device id,hypernymy
mobile devices unique identifier,mobile device identifiers,hypernymy
mobile devices unique identifier,mobile device ids,hypernymy
mobile devices unique identifier,unique device id,hypernymy
mobile devices unique identifier,unique device identifier,hypernymy
mobile devices unique identifier,unique device identifiers,hypernymy
mobile devices unique identifier,unique device ids,hypernymy
mobile devices unique identifier,unique user device number,hypernymy
mobile hardware device id,mobile device id,hypernymy
mobile hardware device id,mobile device identifiers,hypernymy
mobile hardware device id,mobile device ids,hypernymy
nearby device information,access device,hypernymy
nearby device information,access devices,hypernymy
nearby device information,device information,hypernymy
nearby device information,device,hypernymy
nearby device information,device-related data,hypernymy
nearby device information,device-related information,hypernymy
nearby device information,device-specific information,hypernymy
nearby device information,machine,hypernymy
network information,technical data,hypernymy
network information,technical information,hypernymy
network information,technically gathered information,hypernymy
network measurements,network information,hypernymy
network media access control,hardware information,hypernymy
network media access control,hardware,hypernymy
network media access control,network information,hypernymy
network media access control,unique device id,hypernymy
network media access control,unique device identifier,hypernymy
network media access control,unique device identifiers,hypernymy
network media access control,unique device ids,hypernymy
network media access control,unique user device number,hypernymy
network performance,network information,hypernymy
network type,network information,hypernymy
non-personal data,information,hypernymy
open device identification number,unique device id,hypernymy
open device identification number,unique device identifier,hypernymy
open device identification number,unique device identifiers,hypernymy
open device identification number,unique device ids,hypernymy
open device identification number,unique user device number,hypernymy
open udid,unique device id,hypernymy
open udid,unique device identifier,hypernymy
open udid,unique device identifiers,hypernymy
open udid,unique device ids,hypernymy
open udid,unique user device number,hypernymy
operating system information,platform,hypernymy
operating system information,software information,hypernymy
operating system information,software,hypernymy
operating system type,operating system information,hypernymy
operating system type,operating system,hypernymy
operating system version,operating system information,hypernymy
operating system version,operating system,hypernymy
operating system version,version,hypernymy
operating system,platform,hypernymy
operating system,software information,hypernymy
operating system,software,hypernymy
operation system version,operating system information,hypernymy
operation system version,operating system,hypernymy
operation system version,version,hypernymy
other hardware device id,device identifier,hypernymy
other hardware device id,device identifiers,hypernymy
other hardware device id,device numbers,hypernymy
other hardware device id,did,hypernymy
page view time,aggregated data,hypernymy
page view time,log data,hypernymy
page view time,log information,hypernymy
page view time,statistics,hypernymy
page views,aggregated data,hypernymy
page views,browser information,hypernymy
page views,interactions,hypernymy
page views,log data,hypernymy
page views,log information,hypernymy
page views,statistics,hypernymy
page views,usage information,hypernymy
page views,usage,hypernymy
pages viewed,aggregated data,hypernymy
pages viewed,browser information,hypernymy
pages viewed,interactions,hypernymy
pages viewed,log data,hypernymy
pages viewed,log information,hypernymy
pages viewed,statistics,hypernymy
pages viewed,usage information,hypernymy
pages viewed,usage,hypernymy
peripheral hardware,hardware information,hypernymy
peripheral hardware,hardware,hypernymy
peripherals,hardware information,hypernymy
peripherals,hardware,hypernymy
personal information,information,hypernymy
phone number,mobile device information,hypernymy
phone number,mobile device,hypernymy
phone number,telephony log information,hypernymy
phone number,user information,hypernymy
photos,personal information,hypernymy
physical location,geo-location information,hypernymy
physical location,geo-location,hypernymy
physical location,geographic data,hypernymy
physical location,geographic information,hypernymy
physical location,geographic location information,hypernymy
physical location,geographic location,hypernymy
physical location,location data,hypernymy
physical location,location information,hypernymy
physical location,location,hypernymy
physical location,locations,hypernymy
platform type,platform,hypernymy
platform,computer information,hypernymy
platform,computer system information,hypernymy
platform,mobile device information,hypernymy
platform,mobile device,hypernymy
possibly ip address,internet protocol,hypernymy
possibly ip address,users internet protocol,hypernymy
postal code,coarse location,hypernymy
postal code,general geographic location,hypernymy
postal code,high-level geographic information,hypernymy
posted reviews,interactions,hypernymy
posted reviews,usage information,hypernymy
posted reviews,usage,hypernymy
posted reviews,user information,hypernymy
preferred language,language,hypernymy
products,technology,hypernymy
queries details,searches,hypernymy
real-time location-based information,device sensor data,hypernymy
real-time location-based information,geo-location information,hypernymy
real-time location-based information,geo-location,hypernymy
real-time location-based information,geographic data,hypernymy
real-time location-based information,geographic information,hypernymy
real-time location-based information,geographic location information,hypernymy
real-time location-based information,geographic location,hypernymy
real-time location-based information,location data,hypernymy
real-time location-based information,location information,hypernymy
real-time location-based information,location,hypernymy
real-time location-based information,locations,hypernymy
referral url,url,hypernymy
referral url,urls,hypernymy
referring pages,url,hypernymy
referring pages,urls,hypernymy
referring url,url,hypernymy
referring url,urls,hypernymy
request date,browser information,hypernymy
request date,date,hypernymy
request date,datestamp,hypernymy
request date,interactions,hypernymy
request date,usage information,hypernymy
request date,usage,hypernymy
request time,browser information,hypernymy
request time,interactions,hypernymy
request time,log data,hypernymy
request time,log information,hypernymy
request time,usage information,hypernymy
request time,usage,hypernymy
running apps,log data,hypernymy
running apps,log information,hypernymy
running apps,operating system information,hypernymy
running apps,operating system,hypernymy
scores,game usage information,hypernymy
screen content,operating system information,hypernymy
screen content,operating system,hypernymy
searches,interactions,hypernymy
searches,usage information,hypernymy
searches,usage,hypernymy
sensors,mobile device information,hypernymy
sensors,mobile device,hypernymy
service elements,service usage details,hypernymy
service usage details,service usage,hypernymy
service usage frequency,interactions,hypernymy
service usage frequency,usage information,hypernymy
service usage frequency,usage,hypernymy
service usage time,interactions,hypernymy
service usage time,usage information,hypernymy
service usage time,usage,hypernymy
service usage,interactions,hypernymy
service usage,usage information,hypernymy
service usage,usage,hypernymy
sms messages,message,hypernymy
software information,computer information,hypernymy
software information,computer system information,hypernymy
software,computer information,hypernymy
software,computer system information,hypernymy
specific geolocation data,geo-location information,hypernymy
specific geolocation data,geo-location,hypernymy
specific geolocation data,geographic data,hypernymy
specific geolocation data,geographic information,hypernymy
specific geolocation data,geographic location information,hypernymy
specific geolocation data,geographic location,hypernymy
specific geolocation data,location data,hypernymy
specific geolocation data,location information,hypernymy
specific geolocation data,location,hypernymy
specific geolocation data,locations,hypernymy
specific geolocation,geo-location information,hypernymy
specific geolocation,geo-location,hypernymy
specific geolocation,geographic data,hypernymy
specific geolocation,geographic information,hypernymy
specific geolocation,geographic location information,hypernymy
specific geolocation,geographic location,hypernymy
specific geolocation,location data,hypernymy
specific geolocation,location information,hypernymy
specific geolocation,location,hypernymy
specific geolocation,locations,hypernymy
specific location data,geo-location information,hypernymy
specific location data,geo-location,hypernymy
specific location data,geographic data,hypernymy
specific location data,geographic information,hypernymy
specific location data,geographic location information,hypernymy
specific location data,geographic location,hypernymy
specific location data,location data,hypernymy
specific location data,location information,hypernymy
specific location data,location,hypernymy
specific location data,locations,hypernymy
specific location information,geo-location information,hypernymy
specific location information,geo-location,hypernymy
specific location information,geographic data,hypernymy
specific location information,geographic information,hypernymy
specific location information,geographic location information,hypernymy
specific location information,geographic location,hypernymy
specific location information,location data,hypernymy
specific location information,location information,hypernymy
specific location information,location,hypernymy
specific location information,locations,hypernymy
spotify application version,application version number,hypernymy
state,country,hypernymy
statistics,information,hypernymy
system software,software information,hypernymy
system software,software,hypernymy
tablet information,mobile device information,hypernymy
tablet information,mobile device,hypernymy
tablet,mobile device information,hypernymy
tablet,mobile device,hypernymy
technical data,information,hypernymy
technical information,information,hypernymy
technically gathered information,information,hypernymy
telephone number,mobile device information,hypernymy
telephone number,mobile device,hypernymy
telephone number,telephony log information,hypernymy
telephone number,user information,hypernymy
telephony log information,log data,hypernymy
telephony log information,log information,hypernymy
temperature,device sensor data,hypernymy
text messages,message,hypernymy
time zone,coarse location,hypernymy
time zone,general geographic location,hypernymy
time zone,high-level geographic information,hypernymy
time zone,software information,hypernymy
time zone,software,hypernymy
transactional information enabling digital rights management,technical data,hypernymy
transactional information enabling digital rights management,technical information,hypernymy
transactional information enabling digital rights management,technically gathered information,hypernymy
unique application numbers,application information,hypernymy
unique application numbers,applications,hypernymy
unique application numbers,unique identifier,hypernymy
unique application numbers,unique identifiers,hypernymy
unique browser,browser information,hypernymy
unique browser,unique application numbers,hypernymy
unique device id,device identifier,hypernymy
unique device id,device identifiers,hypernymy
unique device id,device numbers,hypernymy
unique device id,did,hypernymy
unique device id,unique identifier,hypernymy
unique device id,unique identifiers,hypernymy
unique device identifier,device identifier,hypernymy
unique device identifier,device identifiers,hypernymy
unique device identifier,device numbers,hypernymy
unique device identifier,did,hypernymy
unique device identifier,unique identifier,hypernymy
unique device identifier,unique identifiers,hypernymy
unique device identifiers,device identifier,hypernymy
unique device identifiers,device identifiers,hypernymy
unique device identifiers,device numbers,hypernymy
unique device identifiers,did,hypernymy
unique device identifiers,unique identifier,hypernymy
unique device identifiers,unique identifiers,hypernymy
unique device ids,device identifier,hypernymy
