Information Type LHS,Information Type RHS,Relation
city,state,hypernymy
click count,clicks,hypernymy
click count,taps,hypernymy
clicks,content interactions,hypernymy
cm browser input,browser information,hypernymy
cm browser input,browser,hypernymy
cm browser input,interactions,hypernymy
cm browser input,usage information,hypernymy
cm browser input,usage,hypernymy
coarse location,actual location,hypernymy
coarse location,geo-location information,hypernymy
coarse location,geo-location,hypernymy
coarse location,geographic data,hypernymy
coarse location,geographic information,hypernymy
coarse location,geographic location information,hypernymy
coarse location,geographic location,hypernymy
coarse location,location data,hypernymy
coarse location,location information,hypernymy
coarse location,location,hypernymy
coarse location,locations,hypernymy
communications,user information,hypernymy
computer information,access device,hypernymy
computer information,access devices,hypernymy
computer information,device data,hypernymy
computer information,device information,hypernymy
computer information,device,hypernymy
computer information,device-related data,hypernymy
computer information,device-related information,hypernymy
computer information,device-specific information,hypernymy
computer information,devices,hypernymy
computer information,machine,hypernymy
computer performance,computer information,hypernymy
computer performance,computer system information,hypernymy
computer performance,computer,hypernymy
computer system information,access device,hypernymy
computer system information,access devices,hypernymy
computer system information,device data,hypernymy
computer system information,device information,hypernymy
computer system information,device,hypernymy
computer system information,device-related data,hypernymy
computer system information,device-related information,hypernymy
computer system information,device-specific information,hypernymy
computer system information,devices,hypernymy
computer system information,machine,hypernymy
computer,access device,hypernymy
computer,access devices,hypernymy
computer,device data,hypernymy
computer,device information,hypernymy
computer,device,hypernymy
computer,device-related data,hypernymy
computer,device-related information,hypernymy
computer,device-specific information,hypernymy
computer,devices,hypernymy
computer,machine,hypernymy
computers operating system,operating system information,hypernymy
computers operating system,operating system,hypernymy
contact entries,user information,hypernymy
contact folder,user information,hypernymy
contact list,user information,hypernymy
contacts folder,user information,hypernymy
contacts,user information,hypernymy
content interactions,interactions,hypernymy
content interactions,usage information,hypernymy
content interactions,usage,hypernymy
content viewed,interactions,hypernymy
content viewed,log data,hypernymy
content viewed,log information,hypernymy
content viewed,usage information,hypernymy
content viewed,usage,hypernymy
cookies,browser information,hypernymy
cookies,browser,hypernymy
cookies,session data,hypernymy
country,geographic area,hypernymy
crash events,diagnostic information,hypernymy
crash events,event,hypernymy
crash events,log data,hypernymy
crash events,log information,hypernymy
crash reports,diagnostic information,hypernymy
crash reports,event,hypernymy
crash reports,log data,hypernymy
crash reports,log information,hypernymy
crashes,diagnostic information,hypernymy
crashes,event,hypernymy
crashes,log data,hypernymy
crashes,log information,hypernymy
date,log data,hypernymy
date,log information,hypernymy
datestamp,log data,hypernymy
datestamp,log information,hypernymy
demographic information,data,hypernymy
demographic information,information,hypernymy
demographic patterns,aggregated data,hypernymy
demographic patterns,analytics information,hypernymy
demographic patterns,demographic information,hypernymy
demographic patterns,statistics,hypernymy
device brand,manufacturers name,hypernymy
device capability,access device,hypernymy
device capability,access devices,hypernymy
device capability,device data,hypernymy
device capability,device information,hypernymy
device capability,device,hypernymy
device capability,device-related data,hypernymy
device capability,device-related information,hypernymy
device capability,device-specific information,hypernymy
device capability,devices,hypernymy
device capability,machine,hypernymy
device characteristics,access device,hypernymy
device characteristics,access devices,hypernymy
device characteristics,device data,hypernymy
device characteristics,device information,hypernymy
device characteristics,device,hypernymy
device characteristics,device-related data,hypernymy
device characteristics,device-related information,hypernymy
device characteristics,device-specific information,hypernymy
device characteristics,devices,hypernymy
device characteristics,machine,hypernymy
device connection information,access device,hypernymy
device connection information,access devices,hypernymy
device connection information,device data,hypernymy
device connection information,device information,hypernymy
device connection information,device,hypernymy
device connection information,device-related data,hypernymy
device connection information,device-related information,hypernymy
device connection information,device-specific information,hypernymy
device connection information,devices,hypernymy
device connection information,machine,hypernymy
device connection information,network information,hypernymy
device data,technical data,hypernymy
device data,technical information,hypernymy
device data,technically gathered information,hypernymy
device data,technological information,hypernymy
device data,technology,hypernymy
device event information,access device,hypernymy
device event information,access devices,hypernymy
device event information,device data,hypernymy
device event information,device information,hypernymy
device event information,device,hypernymy
device event information,device-related data,hypernymy
device event information,device-related information,hypernymy
device event information,device-specific information,hypernymy
device event information,devices,hypernymy
device event information,machine,hypernymy
device id,access device,hypernymy
device id,access devices,hypernymy
device id,device data,hypernymy
device id,device information,hypernymy
device id,device,hypernymy
device id,device-related data,hypernymy
device id,device-related information,hypernymy
device id,device-specific information,hypernymy
device id,devices,hypernymy
device id,electronic identification data,hypernymy
device id,machine,hypernymy
device identifier,access device,hypernymy
device identifier,access devices,hypernymy
device identifier,device data,hypernymy
device identifier,device information,hypernymy
device identifier,device,hypernymy
device identifier,device-related data,hypernymy
device identifier,device-related information,hypernymy
device identifier,device-specific information,hypernymy
device identifier,devices,hypernymy
device identifier,electronic identification data,hypernymy
device identifier,machine,hypernymy
device identifiers,access device,hypernymy
device identifiers,access devices,hypernymy
device identifiers,device data,hypernymy
device identifiers,device information,hypernymy
device identifiers,device,hypernymy
device identifiers,device-related data,hypernymy
device identifiers,device-related information,hypernymy
device identifiers,device-specific information,hypernymy
device identifiers,devices,hypernymy
device identifiers,electronic identification data,hypernymy
device identifiers,machine,hypernymy
device ids,access device,hypernymy
device ids,access devices,hypernymy
device ids,device data,hypernymy
device ids,device information,hypernymy
device ids,device,hypernymy
device ids,device-related data,hypernymy
device ids,device-related information,hypernymy
device ids,device-specific information,hypernymy
device ids,devices,hypernymy
device ids,electronic identification data,hypernymy
device ids,machine,hypernymy
device information,technical data,hypernymy
device information,technical information,hypernymy
device information,technically gathered information,hypernymy
device information,technological information,hypernymy
device information,technology,hypernymy
device language,language,hypernymy
device locations,access device,hypernymy
device locations,access devices,hypernymy
device locations,actual location,hypernymy
device locations,device data,hypernymy
device locations,device information,hypernymy
device locations,device,hypernymy
device locations,device-related data,hypernymy
device locations,device-related information,hypernymy
device locations,device-specific information,hypernymy
device locations,devices,hypernymy
device locations,geo-location information,hypernymy
device locations,geo-location,hypernymy
device locations,geographic data,hypernymy
device locations,geographic information,hypernymy
device locations,geographic location information,hypernymy
device locations,geographic location,hypernymy
device locations,location data,hypernymy
device locations,location information,hypernymy
device locations,location,hypernymy
device locations,locations,hypernymy
device locations,machine,hypernymy
device log information,access device,hypernymy
device log information,access devices,hypernymy
device log information,device data,hypernymy
device log information,device information,hypernymy
device log information,device,hypernymy
device log information,device-related data,hypernymy
device log information,device-related information,hypernymy
device log information,device-specific information,hypernymy
device log information,devices,hypernymy
device log information,log data,hypernymy
device log information,log information,hypernymy
device log information,machine,hypernymy
device make,manufacturers name,hypernymy
device model number,device id,hypernymy
device model number,device identifier,hypernymy
device model number,device identifiers,hypernymy
device model number,device ids,hypernymy
device model number,device model,hypernymy
device model number,device numbers,hypernymy
device model number,did,hypernymy
device model,access device,hypernymy
device model,access devices,hypernymy
device model,device data,hypernymy
device model,device information,hypernymy
device model,device,hypernymy
device model,device-related data,hypernymy
device model,device-related information,hypernymy
device model,device-specific information,hypernymy
device model,devices,hypernymy
device model,machine,hypernymy
device name,access device,hypernymy
device name,access devices,hypernymy
device name,device data,hypernymy
device name,device information,hypernymy
device name,device,hypernymy
device name,device-related data,hypernymy
device name,device-related information,hypernymy
device name,device-specific information,hypernymy
device name,devices,hypernymy
device name,machine,hypernymy
device notifications,access device,hypernymy
device notifications,access devices,hypernymy
device notifications,device data,hypernymy
device notifications,device information,hypernymy
device notifications,device,hypernymy
device notifications,device-related data,hypernymy
device notifications,device-related information,hypernymy
device notifications,device-specific information,hypernymy
device notifications,devices,hypernymy
device notifications,machine,hypernymy
device numbers,access device,hypernymy
device numbers,access devices,hypernymy
device numbers,device data,hypernymy
device numbers,device information,hypernymy
device numbers,device,hypernymy
device numbers,device-related data,hypernymy
device numbers,device-related information,hypernymy
device numbers,device-specific information,hypernymy
device numbers,devices,hypernymy
device numbers,electronic identification data,hypernymy
device numbers,machine,hypernymy
device operating system,operating system information,hypernymy
device operating system,operating system,hypernymy
device sensor data,sensors,hypernymy
device type,access device,hypernymy
device type,access devices,hypernymy
device type,device data,hypernymy
device type,device information,hypernymy
device type,device,hypernymy
device type,device-related data,hypernymy
device type,device-related information,hypernymy
device type,device-specific information,hypernymy
device type,devices,hypernymy
device type,machine,hypernymy
device unique identifier,device id,hypernymy
device unique identifier,device identifier,hypernymy
device unique identifier,device identifiers,hypernymy
device unique identifier,device ids,hypernymy
device unique identifier,device numbers,hypernymy
device unique identifier,did,hypernymy
device unique identifier,unique identifier,hypernymy
device unique identifier,unique identifiers,hypernymy
device,technical data,hypernymy
device,technical information,hypernymy
device,technically gathered information,hypernymy
device,technological information,hypernymy
device,technology,hypernymy
device-related data,technical data,hypernymy
device-related data,technical information,hypernymy
device-related data,technically gathered information,hypernymy
device-related data,technological information,hypernymy
device-related data,technology,hypernymy
device-related information,technical data,hypernymy
device-related information,technical information,hypernymy
device-related information,technically gathered information,hypernymy
device-related information,technological information,hypernymy
device-related information,technology,hypernymy
device-specific information,technical data,hypernymy
device-specific information,technical information,hypernymy
device-specific information,technically gathered information,hypernymy
device-specific information,technological information,hypernymy
device-specific information,technology,hypernymy
devices hardware,hardware information,hypernymy
devices hardware,hardware,hypernymy
devices internet protocol,access device,hypernymy
devices internet protocol,access devices,hypernymy
devices internet protocol,device data,hypernymy
devices internet protocol,device information,hypernymy
devices internet protocol,device,hypernymy
devices internet protocol,device-related data,hypernymy
devices internet protocol,device-related information,hypernymy
devices internet protocol,device-specific information,hypernymy
devices internet protocol,devices,hypernymy
devices internet protocol,internet protocol,hypernymy
devices internet protocol,machine,hypernymy
devices internet protocol,users internet protocol,hypernymy
devices mac address,ethernet mac address,hypernymy
devices mac address,mac address,hypernymy
devices mac address,mac,hypernymy
devices mac address,media access control,hypernymy
devices mac address,network media access control,hypernymy
devices software,software information,hypernymy
devices software,software,hypernymy
devices udid,device id,hypernymy
devices udid,device identifier,hypernymy
devices udid,device identifiers,hypernymy
devices udid,device ids,hypernymy
devices udid,device numbers,hypernymy
devices udid,did,hypernymy
devices udid,unique identifier,hypernymy
devices udid,unique identifiers,hypernymy
devices,technical data,hypernymy
devices,technical information,hypernymy
devices,technically gathered information,hypernymy
devices,technological information,hypernymy
devices,technology,hypernymy
diagnostic information,software information,hypernymy
diagnostic information,software,hypernymy
did,access device,hypernymy
did,access devices,hypernymy
did,device data,hypernymy
did,device information,hypernymy
did,device,hypernymy
did,device-related data,hypernymy
did,device-related information,hypernymy
did,device-specific information,hypernymy
did,devices,hypernymy
did,electronic identification data,hypernymy
did,machine,hypernymy
domain name,network information,hypernymy
domain names,network information,hypernymy
domain servers,computer information,hypernymy
domain servers,computer system information,hypernymy
domain servers,computer,hypernymy
domain servers,network information,hypernymy
domain types,domain name,hypernymy
domain types,domain names,hypernymy
dump reports,diagnostic information,hypernymy
dump reports,log data,hypernymy
dump reports,log information,hypernymy
electronic identification data,identifiers,hypernymy
electronic identification data,identifying information,hypernymy
electronic identification data,technical data,hypernymy
electronic identification data,technical information,hypernymy
electronic identification data,technically gathered information,hypernymy
electronic identification data,technological information,hypernymy
ethernet mac address,network information,hypernymy
ethernet mac address,unique hardware identifiers,hypernymy
exit pages,landing pages,hypernymy
exit pages,page views,hypernymy
exit pages,pages viewed,hypernymy
exit pages,web pages visited,hypernymy
exit pages,web pages,hypernymy
exit pages,web sites visited,hypernymy
exit pages,website information,hypernymy
exit pages,website traffic,hypernymy
exit pages,websites visited,hypernymy
exit pages,websites,hypernymy
feature usage information,interactions,hypernymy
feature usage information,usage information,hypernymy
feature usage information,usage,hypernymy
file requested,log file information,hypernymy
file requested,log files,hypernymy
file requested,session data,hypernymy
files,technology,hypernymy
forwarding numbers,phone number,hypernymy
forwarding numbers,telephone number,hypernymy
friends contact information,address book,hypernymy
friends contact information,contact entries,hypernymy
friends contact information,contact folder,hypernymy
friends contact information,contact list,hypernymy
friends contact information,contacts folder,hypernymy
friends contact information,contacts,hypernymy
friends contact information,friends information,hypernymy
friends information,user information,hypernymy
functions,technology,hypernymy
game activity date,date,hypernymy
game activity date,datestamp,hypernymy
game activity date,game usage information,hypernymy
game activity time,game usage information,hypernymy
game activity time,time,hypernymy
game activity time,timestamp,hypernymy
game progress,game usage information,hypernymy
game state,game usage information,hypernymy
game system,technology,hypernymy
game usage information,game system,hypernymy
game usage information,interactions,hypernymy
game usage information,usage information,hypernymy
game usage information,usage,hypernymy
general demographic information,demographic information,hypernymy
general geographic location,actual location,hypernymy
general geographic location,geo-location information,hypernymy
general geographic location,geo-location,hypernymy
general geographic location,geographic data,hypernymy
general geographic location,geographic information,hypernymy
general geographic location,geographic location information,hypernymy
general geographic location,geographic location,hypernymy
general geographic location,location data,hypernymy
general geographic location,location information,hypernymy
general geographic location,location,hypernymy
general geographic location,locations,hypernymy
geo-location information,technical data,hypernymy
geo-location information,technical information,hypernymy
geo-location information,technically gathered information,hypernymy
geo-location information,technological information,hypernymy
geo-location,technical data,hypernymy
geo-location,technical information,hypernymy
geo-location,technically gathered information,hypernymy
geo-location,technological information,hypernymy
geographic area,actual location,hypernymy
geographic area,geo-location information,hypernymy
geographic area,geo-location,hypernymy
geographic area,geographic data,hypernymy
geographic area,geographic information,hypernymy
geographic area,geographic location information,hypernymy
geographic area,geographic location,hypernymy
geographic area,location data,hypernymy
geographic area,location information,hypernymy
geographic area,location,hypernymy
geographic area,locations,hypernymy
geographic data,technical data,hypernymy
geographic data,technical information,hypernymy
geographic data,technically gathered information,hypernymy
geographic data,technological information,hypernymy
geographic information,technical data,hypernymy
geographic information,technical information,hypernymy
geographic information,technically gathered information,hypernymy
geographic information,technological information,hypernymy
geographic location information,technical data,hypernymy
geographic location information,technical information,hypernymy
geographic location information,technically gathered information,hypernymy
geographic location information,technological information,hypernymy
geographic location,technical data,hypernymy
geographic location,technical information,hypernymy
geographic location,technically gathered information,hypernymy
geographic location,technological information,hypernymy
global positioning system,actual location,hypernymy
global positioning system,device sensor data,hypernymy
global positioning system,geo-location information,hypernymy
global positioning system,geo-location,hypernymy
global positioning system,geographic data,hypernymy
global positioning system,geographic information,hypernymy
global positioning system,geographic location information,hypernymy
global positioning system,geographic location,hypernymy
global positioning system,location data,hypernymy
global positioning system,location information,hypernymy
global positioning system,location,hypernymy
global positioning system,locations,hypernymy
gps information,actual location,hypernymy
gps information,device sensor data,hypernymy
gps information,geo-location information,hypernymy
gps information,geo-location,hypernymy
gps information,geographic data,hypernymy
gps information,geographic information,hypernymy
gps information,geographic location information,hypernymy
gps information,geographic location,hypernymy
gps information,location data,hypernymy
gps information,location information,hypernymy
gps information,location,hypernymy
gps information,locations,hypernymy
gps signals,global positioning system,hypernymy
gps signals,gps information,hypernymy
gps signals,gps,hypernymy
gps signals,real-time location-based information,hypernymy
gps,actual location,hypernymy
gps,device sensor data,hypernymy
gps,geo-location information,hypernymy
gps,geo-location,hypernymy
gps,geographic data,hypernymy
gps,geographic information,hypernymy
gps,geographic location information,hypernymy
gps,geographic location,hypernymy
gps,location data,hypernymy
gps,location information,hypernymy
gps,location,hypernymy
gps,locations,hypernymy
hardware device id,device id,hypernymy
hardware device id,device identifier,hypernymy
hardware device id,device identifiers,hypernymy
hardware device id,device ids,hypernymy
hardware device id,device numbers,hypernymy
hardware device id,did,hypernymy
hardware device id,hardware information,hypernymy
hardware device id,hardware,hypernymy
hardware information,access device,hypernymy
hardware information,access devices,hypernymy
hardware information,device data,hypernymy
hardware information,device information,hypernymy
hardware information,device,hypernymy
hardware information,device-related data,hypernymy
hardware information,device-related information,hypernymy
hardware information,device-specific information,hypernymy
hardware information,devices,hypernymy
hardware information,machine,hypernymy
hardware log information,hardware information,hypernymy
hardware log information,hardware,hypernymy
hardware log information,log data,hypernymy
hardware log information,log information,hypernymy
hardware model,hardware information,hypernymy
hardware model,hardware,hypernymy
hardware settings,hardware information,hypernymy
hardware settings,hardware,hypernymy
hardware type,hardware information,hypernymy
hardware type,hardware,hypernymy
hardware,access device,hypernymy
hardware,access devices,hypernymy
hardware,device data,hypernymy
hardware,device information,hypernymy
hardware,device,hypernymy
hardware,device-related data,hypernymy
hardware,device-related information,hypernymy
hardware,device-specific information,hypernymy
hardware,devices,hypernymy
hardware,machine,hypernymy
high-level geographic information,actual location,hypernymy
high-level geographic information,geo-location information,hypernymy
high-level geographic information,geo-location,hypernymy
high-level geographic information,geographic data,hypernymy
high-level geographic information,geographic information,hypernymy
high-level geographic information,geographic location information,hypernymy
high-level geographic information,geographic location,hypernymy
high-level geographic information,location data,hypernymy
high-level geographic information,location information,hypernymy
high-level geographic information,location,hypernymy
high-level geographic information,locations,hypernymy
identifiers,data,hypernymy
identifiers,information,hypernymy
identifying information,data,hypernymy
identifying information,information,hypernymy
idfa,advertiser id,hypernymy
idfa,advertising id,hypernymy
idfa,advertising identifier,hypernymy
idfa,iphones unique identifier,hypernymy
imei,mobile device id,hypernymy
imei,mobile device identifiers,hypernymy
imei,mobile device ids,hypernymy
incident data,data,hypernymy
incident data,information,hypernymy
installation date,date,hypernymy
installation date,datestamp,hypernymy
installation date,software information,hypernymy
installation date,software,hypernymy
installation time,software information,hypernymy
installation time,software,hypernymy
installation time,time,hypernymy
installation time,timestamp,hypernymy
installed applications,application information,hypernymy
installed applications,applications,hypernymy
installed software,software information,hypernymy
installed software,software,hypernymy
interactions,event,hypernymy
interactions,technical data,hypernymy
interactions,technical information,hypernymy
interactions,technically gathered information,hypernymy
interactions,technological information,hypernymy
international mobile equipment identity,mobile device id,hypernymy
international mobile equipment identity,mobile device identifiers,hypernymy
international mobile equipment identity,mobile device ids,hypernymy
internet browsing behavior,browser information,hypernymy
internet browsing behavior,browser,hypernymy
internet protocol address,internet protocol,hypernymy
internet protocol address,users internet protocol,hypernymy
internet protocol addresses,internet protocol,hypernymy
internet protocol addresses,users internet protocol,hypernymy
internet protocol,network protocol,hypernymy
internet protocol,user information,hypernymy
internet protocol-based location,actual location,hypernymy
internet protocol-based location,geo-location information,hypernymy
internet protocol-based location,geo-location,hypernymy
internet protocol-based location,geographic data,hypernymy
internet protocol-based location,geographic information,hypernymy
internet protocol-based location,geographic location information,hypernymy
internet protocol-based location,geographic location,hypernymy
internet protocol-based location,internet protocol,hypernymy
internet protocol-based location,location data,hypernymy
internet protocol-based location,location information,hypernymy
internet protocol-based location,location,hypernymy
internet protocol-based location,locations,hypernymy
internet protocol-based location,users internet protocol,hypernymy
internet service provider,telecommunications carrier information,hypernymy
ios advertising identifier,advertiser id,hypernymy
ios advertising identifier,advertising id,hypernymy
ios advertising identifier,advertising identifier,hypernymy
ios advertising identifier,iphones unique identifier,hypernymy
ip address,internet protocol,hypernymy
ip address,users internet protocol,hypernymy
ip addresses,internet protocol,hypernymy
ip addresses,users internet protocol,hypernymy
ip-address,internet protocol,hypernymy
ip-address,users internet protocol,hypernymy
iphones unique identifier,mobile device id,hypernymy
iphones unique identifier,mobile device identifiers,hypernymy
iphones unique identifier,mobile device ids,hypernymy
iphones unique identifier,unique identifier,hypernymy
iphones unique identifier,unique identifiers,hypernymy
isp,telecommunications carrier information,hypernymy
landing pages,content viewed,hypernymy
landing pages,page view statistics,hypernymy
landing pages,web request,hypernymy
language modeling data,language,hypernymy
language modeling statistics,language,hypernymy
language,mobile device information,hypernymy
language,mobile device technical information,hypernymy
language,mobile device,hypernymy
language,personal information,hypernymy
language,software information,hypernymy
language,software,hypernymy
latitude,global positioning system,hypernymy
latitude,gps information,hypernymy
latitude,gps,hypernymy
latitude,real-time location-based information,hypernymy
learned language data,language,hypernymy
location data,technical data,hypernymy
location data,technical information,hypernymy
location data,technically gathered information,hypernymy
location data,technological information,hypernymy
location information,technical data,hypernymy
location information,technical information,hypernymy
location information,technically gathered information,hypernymy
location information,technological information,hypernymy
location tags,actual location,hypernymy
location tags,geo-location information,hypernymy
location tags,geo-location,hypernymy
location tags,geographic data,hypernymy
location tags,geographic information,hypernymy
location tags,geographic location information,hypernymy
location tags,geographic location,hypernymy
location tags,location data,hypernymy
location tags,location information,hypernymy
location tags,location,hypernymy
location tags,locations,hypernymy
location,technical data,hypernymy
location,technical information,hypernymy
location,technically gathered information,hypernymy
location,technological information,hypernymy
locations,technical data,hypernymy
locations,technical information,hypernymy
locations,technically gathered information,hypernymy
locations,technological information,hypernymy
log data,technical data,hypernymy
log data,technical information,hypernymy
log data,technically gathered information,hypernymy
log data,technological information,hypernymy
log file information,log data,hypernymy
log file information,log information,hypernymy
log file information,technology,hypernymy
log files,log data,hypernymy
log files,log information,hypernymy
log files,technology,hypernymy
log information,technical data,hypernymy
log information,technical information,hypernymy
log information,technically gathered information,hypernymy
log information,technological information,hypernymy
longitude,global positioning system,hypernymy
longitude,gps information,hypernymy
longitude,gps,hypernymy
longitude,real-time location-based information,hypernymy
mac address,network information,hypernymy
mac address,unique hardware identifiers,hypernymy
mac,network information,hypernymy
mac,unique hardware identifiers,hypernymy
machine,technical data,hypernymy
machine,technical information,hypernymy
machine,technically gathered information,hypernymy
machine,technological information,hypernymy
machine,technology,hypernymy
manufacturers name,hardware information,hypernymy
manufacturers name,hardware,hypernymy
manufacturers name,mobile device information,hypernymy
manufacturers name,mobile device technical information,hypernymy
manufacturers name,mobile device,hypernymy
manufacturers name,software information,hypernymy
manufacturers name,software,hypernymy
mcc,country,hypernymy
mcc,identifiers,hypernymy
mcc,identifying information,hypernymy
media access control,network information,hypernymy
media access control,unique hardware identifiers,hypernymy
media information,technical data,hypernymy
media information,technical information,hypernymy
media information,technically gathered information,hypernymy
media information,technological information,hypernymy
media information,technology,hypernymy
media,technical data,hypernymy
media,technical information,hypernymy
media,technically gathered information,hypernymy
media,technological information,hypernymy
media,technology,hypernymy
message,communications,hypernymy
mobile application usage information,application usage information,hypernymy
mobile application usage information,mobile device information,hypernymy
mobile application usage information,mobile device technical information,hypernymy
mobile application usage information,mobile device,hypernymy
mobile application version,application version number,hypernymy
mobile application version,mobile device information,hypernymy
mobile application version,mobile device technical information,hypernymy
mobile application version,mobile device,hypernymy
mobile country code,country,hypernymy
mobile country code,identifiers,hypernymy
mobile country code,identifying information,hypernymy
mobile device id,device id,hypernymy
mobile device id,device identifier,hypernymy
mobile device id,device identifiers,hypernymy
mobile device id,device ids,hypernymy
mobile device id,device numbers,hypernymy
mobile device id,did,hypernymy
mobile device id,mobile device information,hypernymy
mobile device id,mobile device technical information,hypernymy
mobile device id,mobile device,hypernymy
mobile device identifiers,device id,hypernymy
mobile device identifiers,device identifier,hypernymy
mobile device identifiers,device identifiers,hypernymy
mobile device identifiers,device ids,hypernymy
mobile device identifiers,device numbers,hypernymy
mobile device identifiers,did,hypernymy
mobile device identifiers,mobile device information,hypernymy
mobile device identifiers,mobile device technical information,hypernymy
mobile device identifiers,mobile device,hypernymy
mobile device ids,device id,hypernymy
mobile device ids,device identifier,hypernymy
mobile device ids,device identifiers,hypernymy
mobile device ids,device ids,hypernymy
mobile device ids,device numbers,hypernymy
mobile device ids,did,hypernymy
